2023-05-07T20:06:36.108Z | lQB8L | user9 | 93
2023-05-07T20:06:36.120Z | lQB8L | user2 | 93
2023-05-07T20:06:36.168Z | lQB8L | user3 | 94
2023-05-07T20:06:36.244Z | lQB8L | user8 | 93
2023-05-07T20:06:36.290Z | lQB8L | user4 | 92
2023-05-07T20:06:36.332Z | lQB8L | user5 | 94
2023-05-07T20:06:36.691Z | lQB8L | user1 | 94
2023-05-07T20:06:36.872Z | lQB8L | desmond | 94
2023-05-07T20:06:36.884Z | lQB8L | user0 | 94
2023-05-07T20:06:36.898Z | lQB8L | user6 | 94
2023-05-07T20:06:37.111Z | lQB8L | user9 | 94
2023-05-07T20:06:37.121Z | lQB8L | user2 | 94
2023-05-07T20:06:37.169Z | lQB8L | user3 | 94
2023-05-07T20:06:37.246Z | lQB8L | user8 | 94
2023-05-07T20:06:37.293Z | lQB8L | user4 | 93
2023-05-07T20:06:37.333Z | lQB8L | user5 | 95
2023-05-07T20:06:37.693Z | lQB8L | user1 | 95
2023-05-07T20:06:37.873Z | lQB8L | desmond | 96
2023-05-07T20:06:37.885Z | lQB8L | user0 | 95
2023-05-07T20:06:37.900Z | lQB8L | user6 | 95
2023-05-07T20:06:38.112Z | lQB8L | user9 | 95
2023-05-07T20:06:38.123Z | lQB8L | user2 | 95
2023-05-07T20:06:38.172Z | lQB8L | user3 | 96
2023-05-07T20:06:38.247Z | lQB8L | user8 | 96
2023-05-07T20:06:38.295Z | lQB8L | user4 | 94
2023-05-07T20:06:38.335Z | lQB8L | user5 | 96
2023-05-07T20:06:38.694Z | lQB8L | user1 | 96
2023-05-07T20:06:38.874Z | lQB8L | desmond | 96
2023-05-07T20:06:38.886Z | lQB8L | user0 | 96
