2023-05-07T19:55:38.792Z | kPaGU | user1 | 83
2023-05-07T19:55:38.913Z | kPaGU | user4 | 83
2023-05-07T19:55:38.981Z | kPaGU | desmond | 84
2023-05-07T19:55:38.998Z | kPaGU | user3 | 83
2023-05-07T19:55:39.289Z | kPaGU | user5 | 84
2023-05-07T19:55:39.539Z | kPaGU | user0 | 84
2023-05-07T19:55:39.637Z | kPaGU | user2 | 84
2023-05-07T19:55:39.793Z | kPaGU | user1 | 84
2023-05-07T19:55:39.915Z | kPaGU | user4 | 84
2023-05-07T19:55:39.983Z | kPaGU | desmond | 85
2023-05-07T19:55:40.001Z | kPaGU | user3 | 85
2023-05-07T19:55:40.292Z | kPaGU | user5 | 85
2023-05-07T19:55:40.542Z | kPaGU | user0 | 85
2023-05-07T19:55:40.691Z | kPaGU | user2 | 85
2023-05-07T19:55:40.804Z | kPaGU | user1 | 85
2023-05-07T19:55:40.925Z | kPaGU | user4 | 85
2023-05-07T19:55:40.988Z | kPaGU | desmond | 86
2023-05-07T19:55:41.004Z | kPaGU | user3 | 85
2023-05-07T19:55:41.293Z | kPaGU | user5 | 86
2023-05-07T19:55:41.544Z | kPaGU | user0 | 86
2023-05-07T19:55:41.697Z | kPaGU | user2 | 86
2023-05-07T19:55:41.818Z | kPaGU | user1 | 31
2023-05-07T19:55:41.926Z | kPaGU | user4 | 31
2023-05-07T19:55:42.010Z | kPaGU | user3 | 31
2023-05-07T19:55:42.010Z | kPaGU | desmond | 31
2023-05-07T19:55:42.306Z | kPaGU | user5 | 33
2023-05-07T19:55:42.558Z | kPaGU | user0 | 42
2023-05-07T19:55:42.699Z | kPaGU | user2 | 63
2023-05-07T19:56:43.815Z | kPaGU | user5 | 86
2023-05-07T19:56:44.050Z | kPaGU | user0 | 86
2023-05-07T19:56:44.206Z | kPaGU | user2 | 86
2023-05-07T19:56:44.333Z | kPaGU | user1 | 86
2023-05-07T19:56:44.441Z | kPaGU | user4 | 86
2023-05-07T19:56:44.520Z | kPaGU | user3 | 86
2023-05-07T19:56:44.520Z | kPaGU | desmond | 86
2023-05-07T19:56:44.819Z | kPaGU | user5 | 86
2023-05-07T19:56:45.051Z | kPaGU | user0 | 31
2023-05-07T19:56:45.207Z | kPaGU | user2 | 31
2023-05-07T19:56:45.335Z | kPaGU | user1 | 31
2023-05-07T19:56:45.444Z | kPaGU | user4 | 31
2023-05-07T19:56:45.522Z | kPaGU | desmond | 54
2023-05-07T19:56:45.524Z | kPaGU | user3 | 33
2023-05-07T19:56:45.821Z | kPaGU | user5 | 54
2023-05-07T19:56:46.054Z | kPaGU | user0 | 81
