2023-05-07T19:25:16.764Z | aDxcQ | user5 | 23
2023-05-07T19:25:16.829Z | aDxcQ | user17 | 23
2023-05-07T19:25:16.829Z | aDxcQ | user3 | 23
2023-05-07T19:25:16.877Z | aDxcQ | user14 | 23
2023-05-07T19:25:16.878Z | aDxcQ | user6 | 23
2023-05-07T19:25:16.893Z | aDxcQ | desmond | 23
2023-05-07T19:25:17.120Z | aDxcQ | user12 | 23
2023-05-07T19:25:17.271Z | aDxcQ | user7 | 23
2023-05-07T19:25:17.362Z | aDxcQ | user4 | 26
2023-05-07T19:25:17.321Z | aDxcQ | user1 | 23
2023-05-07T19:25:17.379Z | aDxcQ | user16 | 23
2023-05-07T19:25:17.451Z | aDxcQ | user11 | 28
2023-05-07T19:25:17.486Z | aDxcQ | user2 | 23
2023-05-07T19:25:17.584Z | aDxcQ | user0 | 23
2023-05-07T19:25:17.618Z | aDxcQ | user15 | 25
2023-05-07T19:25:17.772Z | aDxcQ | user5 | 23
2023-05-07T19:25:17.837Z | aDxcQ | user17 | 23
2023-05-07T19:25:17.837Z | aDxcQ | user3 | 23
2023-05-07T19:25:17.885Z | aDxcQ | user14 | 22
2023-05-07T19:25:17.886Z | aDxcQ | user6 | 23
2023-05-07T19:25:17.902Z | aDxcQ | desmond | 23
2023-05-07T19:25:18.131Z | aDxcQ | user12 | 23
2023-05-07T19:25:18.277Z | aDxcQ | user7 | 23
2023-05-07T19:25:18.329Z | aDxcQ | user1 | 22
2023-05-07T19:25:18.370Z | aDxcQ | user4 | 26
2023-05-07T19:25:18.388Z | aDxcQ | user16 | 23
2023-05-07T19:25:18.494Z | aDxcQ | user2 | 23
2023-05-07T19:25:18.454Z | aDxcQ | user11 | 28
2023-05-07T19:25:18.888Z | aDxcQ | user6 | 22
2023-05-07T19:25:18.928Z | aDxcQ | desmond | 32
2023-05-07T19:25:18.593Z | aDxcQ | user0 | 23
2023-05-07T19:25:18.625Z | aDxcQ | user15 | 25
2023-05-07T19:25:19.337Z | aDxcQ | user1 | 29
2023-05-07T19:25:18.782Z | aDxcQ | user5 | 23
2023-05-07T19:25:18.846Z | aDxcQ | user17 | 22
2023-05-07T19:25:19.462Z | aDxcQ | user11 | 28
2023-05-07T19:25:18.840Z | aDxcQ | user3 | 22
2023-05-07T19:25:18.887Z | aDxcQ | user14 | 22
2023-05-07T19:25:19.601Z | aDxcQ | user0 | 23
2023-05-07T19:25:19.633Z | aDxcQ | user15 | 25
2023-05-07T19:25:19.138Z | aDxcQ | user12 | 23
2023-05-07T19:25:19.282Z | aDxcQ | user7 | 29
2023-05-07T19:25:19.789Z | aDxcQ | user5 | 29
2023-05-07T19:25:19.379Z | aDxcQ | user4 | 26
2023-05-07T19:25:19.856Z | aDxcQ | user17 | 29
2023-05-07T19:25:19.850Z | aDxcQ | user3 | 29
2023-05-07T19:25:19.889Z | aDxcQ | user14 | 29
2023-05-07T19:25:19.396Z | aDxcQ | user16 | 23
2023-05-07T19:25:19.946Z | aDxcQ | desmond | 32
2023-05-07T19:25:19.503Z | aDxcQ | user2 | 29
2023-05-07T19:25:20.140Z | aDxcQ | user12 | 29
2023-05-07T19:25:20.291Z | aDxcQ | user7 | 29
2023-05-07T19:25:19.889Z | aDxcQ | user6 | 29
2023-05-07T19:25:20.339Z | aDxcQ | user1 | 29
2023-05-07T19:25:20.388Z | aDxcQ | user4 | 26
2023-05-07T19:25:20.405Z | aDxcQ | user16 | 29
2023-05-07T19:25:20.469Z | aDxcQ | user11 | 28
2023-05-07T19:25:20.510Z | aDxcQ | user2 | 29
2023-05-07T19:25:20.610Z | aDxcQ | user0 | 32
2023-05-07T19:25:20.643Z | aDxcQ | user15 | 25
2023-05-07T19:25:20.797Z | aDxcQ | user5 | 29
2023-05-07T19:25:20.862Z | aDxcQ | user17 | 29
2023-05-07T19:25:20.895Z | aDxcQ | user14 | 29
2023-05-07T19:25:20.854Z | aDxcQ | user3 | 32
2023-05-07T19:25:20.895Z | aDxcQ | user6 | 29
2023-05-07T19:25:20.960Z | aDxcQ | desmond | 32
2023-05-07T19:25:21.147Z | aDxcQ | user12 | 29
2023-05-07T19:25:21.300Z | aDxcQ | user7 | 29
2023-05-07T19:25:21.347Z | aDxcQ | user1 | 29
2023-05-07T19:25:21.396Z | aDxcQ | user4 | 26
2023-05-07T19:25:21.414Z | aDxcQ | user16 | 29
2023-05-07T19:25:21.477Z | aDxcQ | user11 | 28
2023-05-07T19:25:21.518Z | aDxcQ | user2 | 29
2023-05-07T19:25:21.617Z | aDxcQ | user0 | 32
2023-05-07T19:25:21.649Z | aDxcQ | user15 | 38
2023-05-07T19:25:21.804Z | aDxcQ | user5 | 29
2023-05-07T19:25:21.869Z | aDxcQ | user17 | 29
2023-05-07T19:25:21.902Z | aDxcQ | user14 | 29
2023-05-07T19:25:21.861Z | aDxcQ | user3 | 32
2023-05-07T19:25:21.902Z | aDxcQ | user6 | 29
2023-05-07T19:25:21.984Z | aDxcQ | desmond | 32
2023-05-07T19:25:22.154Z | aDxcQ | user12 | 29
2023-05-07T19:25:22.305Z | aDxcQ | user7 | 29
2023-05-07T19:25:22.354Z | aDxcQ | user1 | 29
2023-05-07T19:25:22.421Z | aDxcQ | user16 | 29
2023-05-07T19:25:22.404Z | aDxcQ | user4 | 39
2023-05-07T19:25:22.486Z | aDxcQ | user11 | 28
2023-05-07T19:25:22.528Z | aDxcQ | user2 | 29
2023-05-07T19:25:22.625Z | aDxcQ | user0 | 31
2023-05-07T19:25:22.657Z | aDxcQ | user15 | 38
2023-05-07T19:25:22.807Z | aDxcQ | user5 | 29
2023-05-07T19:25:22.873Z | aDxcQ | user17 | 29
2023-05-07T19:25:22.866Z | aDxcQ | user3 | 32
2023-05-07T19:25:22.905Z | aDxcQ | user14 | 29
2023-05-07T19:25:22.906Z | aDxcQ | user6 | 29
2023-05-07T19:25:23.164Z | aDxcQ | user12 | 29
2023-05-07T19:25:23.010Z | aDxcQ | desmond | 32
2023-05-07T19:25:23.313Z | aDxcQ | user7 | 29
2023-05-07T19:25:23.410Z | aDxcQ | user4 | 39
2023-05-07T19:25:23.427Z | aDxcQ | user16 | 29
2023-05-07T19:25:23.492Z | aDxcQ | user11 | 28
2023-05-07T19:25:23.533Z | aDxcQ | user2 | 29
2023-05-07T19:25:23.362Z | aDxcQ | user1 | 29
