2023-05-07T18:13:17.883Z | DsU04 | desmond | 96
2023-05-07T18:13:18.803Z | DsU04 | user0 | 85
2023-05-07T18:13:19.806Z | DsU04 | user0 | 97
2023-05-07T18:13:18.890Z | DsU04 | desmond | 95
2023-05-07T18:13:19.895Z | DsU04 | desmond | 95
2023-05-07T18:13:20.807Z | DsU04 | user0 | 96
2023-05-07T18:13:21.814Z | DsU04 | user0 | 96
2023-05-07T18:13:20.898Z | DsU04 | desmond | 95
2023-05-07T18:13:22.819Z | DsU04 | user0 | 96
2023-05-07T18:13:21.906Z | DsU04 | desmond | 95
2023-05-07T18:13:22.914Z | DsU04 | desmond | 95
2023-05-07T18:13:23.828Z | DsU04 | user0 | 96
2023-05-07T18:13:24.832Z | DsU04 | user0 | 96
2023-05-07T18:13:23.922Z | DsU04 | desmond | 95
2023-05-07T18:13:24.931Z | DsU04 | desmond | 94
2023-05-07T18:14:01.014Z | DsU04 | user0 | 96
2023-05-07T18:14:00.202Z | DsU04 | desmond | 94
2023-05-07T18:14:02.018Z | DsU04 | user0 | 96
2023-05-07T18:14:01.210Z | DsU04 | desmond | 94
2023-05-07T18:14:03.021Z | DsU04 | user0 | 96
2023-05-07T18:14:02.219Z | DsU04 | desmond | 94
2023-05-07T18:14:04.023Z | DsU04 | user0 | 95
2023-05-07T18:14:03.235Z | DsU04 | desmond | 94
2023-05-07T18:14:05.032Z | DsU04 | user0 | 95
2023-05-07T18:14:04.243Z | DsU04 | desmond | 94
2023-05-07T18:14:06.041Z | DsU04 | user0 | 181
2023-05-07T18:14:05.250Z | DsU04 | desmond | 181
2023-05-07T18:14:07.045Z | DsU04 | user0 | 181
2023-05-07T18:14:06.258Z | DsU04 | desmond | 181
2023-05-07T18:14:08.051Z | DsU04 | user0 | 181
2023-05-07T18:14:07.267Z | DsU04 | desmond | 181
2023-05-07T18:14:09.060Z | DsU04 | user0 | 181
2023-05-07T18:14:08.274Z | DsU04 | desmond | 181
2023-05-07T18:14:10.067Z | DsU04 | user0 | 180
2023-05-07T18:14:09.282Z | DsU04 | desmond | 180
2023-05-07T18:14:11.071Z | DsU04 | user0 | 180
2023-05-07T18:14:10.290Z | DsU04 | desmond | 180
2023-05-07T18:14:12.077Z | DsU04 | user0 | 180
2023-05-07T18:14:11.298Z | DsU04 | desmond | 180
2023-05-07T18:14:13.083Z | DsU04 | user0 | 180
2023-05-07T18:14:12.306Z | DsU04 | desmond | 180
2023-05-07T18:14:14.092Z | DsU04 | user0 | 180
2023-05-07T18:14:13.314Z | DsU04 | desmond | 180
2023-05-07T18:14:15.098Z | DsU04 | user0 | 180
2023-05-07T18:14:14.322Z | DsU04 | desmond | 180
2023-05-07T18:14:16.107Z | DsU04 | user0 | 179
2023-05-07T18:14:15.330Z | DsU04 | desmond | 179
2023-05-07T18:14:17.110Z | DsU04 | user0 | 179
2023-05-07T18:14:16.338Z | DsU04 | desmond | 179
2023-05-07T18:14:18.114Z | DsU04 | user0 | 179
2023-05-07T18:14:17.346Z | DsU04 | desmond | 179
2023-05-07T18:14:19.120Z | DsU04 | user0 | 179
2023-05-07T18:14:18.354Z | DsU04 | desmond | 179
2023-05-07T18:14:20.126Z | DsU04 | user0 | 179
2023-05-07T18:14:19.362Z | DsU04 | desmond | 179
2023-05-07T18:14:21.136Z | DsU04 | user0 | 178
