2023-05-07T19:25:13.337Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:13.418Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:13.361Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:13.453Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:13.543Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:13.575Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:13.755Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:13.812Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:13.821Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:13.812Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:13.862Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:13.854Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:14.098Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:14.255Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:14.304Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:14.344Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:14.370Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:14.427Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:14.462Z | aDxcQ | user2 | 0.000028604365389025174
2023-05-07T19:25:14.555Z | aDxcQ | user0 | 0.0001103291463998892
2023-05-07T19:25:14.586Z | aDxcQ | user15 | 0.000042224733028949485
2023-05-07T19:25:14.759Z | aDxcQ | user5 | 0.00011305353351100491
2023-05-07T19:25:14.816Z | aDxcQ | user17 | 0.00020023018980221512
2023-05-07T19:25:14.817Z | aDxcQ | user3 | 0.00006810436284230539
2023-05-07T19:25:14.864Z | aDxcQ | user6 | 0.00016073143263011126
2023-05-07T19:25:14.872Z | aDxcQ | user14 | 0.000023155547297712285
2023-05-07T19:25:14.847Z | aDxcQ | desmond | 0.0001770713547257659
2023-05-07T19:25:15.106Z | aDxcQ | user12 | 0.00018524852383487874
2023-05-07T19:25:15.258Z | aDxcQ | user7 | 0.000028603815328897415
2023-05-07T19:25:15.308Z | aDxcQ | user1 | 0.00006265599401536096
2023-05-07T19:25:15.375Z | aDxcQ | user16 | 0.000024517726545805776
2023-05-07T19:25:15.351Z | aDxcQ | user4 | 0.00007219137458300985
2023-05-07T19:25:15.434Z | aDxcQ | user11 | 0.00006946687759207991
2023-05-07T19:25:15.469Z | aDxcQ | user2 | 0.000028604365389025174
