2023-05-07T19:13:48.808Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:48.907Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:48.899Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:48.940Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:48.949Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:49.015Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:49.230Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:49.312Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:49.485Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:49.484Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:49.696Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:49.811Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:49.910Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:49.903Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:49.943Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:49.954Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:50.042Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:50.238Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:50.320Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:50.493Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:50.493Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:50.705Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:50.814Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:50.912Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:50.912Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:50.945Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:50.961Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:51.053Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:51.243Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:51.325Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:51.497Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:51.497Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:51.710Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:51.819Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:51.922Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:51.955Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:51.914Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:51.973Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:52.078Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:52.248Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:52.330Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:52.503Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:52.503Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:52.824Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:52.718Z | mtYK9 | user0 | 0.00004767316879472155
