2023-05-07T19:05:07.011Z | nDp8H | user2 | 522
2023-05-07T19:05:07.328Z | nDp8H | user4 | 531
2023-05-07T19:05:07.725Z | nDp8H | user0 | 520
2023-05-07T19:05:07.783Z | nDp8H | user3 | 522
2023-05-07T19:05:08.006Z | nDp8H | user1 | 522
2023-05-07T19:05:08.014Z | nDp8H | user2 | 522
2023-05-07T19:05:08.333Z | nDp8H | user4 | 530
2023-05-07T19:05:08.729Z | nDp8H | user0 | 519
2023-05-07T19:05:08.787Z | nDp8H | user3 | 521
2023-05-07T19:05:08.778Z | nDp8H | desmond | 522
2023-05-07T19:05:09.020Z | nDp8H | user2 | 521
2023-05-07T19:05:09.015Z | nDp8H | user1 | 521
2023-05-07T19:05:09.335Z | nDp8H | user4 | 529
2023-05-07T19:05:09.736Z | nDp8H | user0 | 519
2023-05-07T19:05:09.793Z | nDp8H | user3 | 520
2023-05-07T19:05:10.021Z | nDp8H | user1 | 520
2023-05-07T19:05:10.030Z | nDp8H | user2 | 520
2023-05-07T19:05:10.344Z | nDp8H | user4 | 528
2023-05-07T19:05:10.742Z | nDp8H | user0 | 518
2023-05-07T19:05:10.775Z | nDp8H | desmond | 520
2023-05-07T19:05:10.798Z | nDp8H | user3 | 519
2023-05-07T19:05:11.025Z | nDp8H | user1 | 519
2023-05-07T19:05:11.034Z | nDp8H | user2 | 519
2023-05-07T19:05:11.350Z | nDp8H | user4 | 527
2023-05-07T19:05:11.745Z | nDp8H | user0 | 517
2023-05-07T19:05:11.802Z | nDp8H | user3 | 518
2023-05-07T19:05:12.036Z | nDp8H | user1 | 518
2023-05-07T19:05:12.043Z | nDp8H | user2 | 518
2023-05-07T19:05:12.353Z | nDp8H | user4 | 526
2023-05-07T19:05:12.789Z | nDp8H | desmond | 518
2023-05-07T19:05:12.754Z | nDp8H | user0 | 516
2023-05-07T19:05:12.810Z | nDp8H | user3 | 517
2023-05-07T19:05:13.038Z | nDp8H | user1 | 517
2023-05-07T19:05:13.048Z | nDp8H | user2 | 517
2023-05-07T19:05:13.366Z | nDp8H | user4 | 526
2023-05-07T19:05:13.758Z | nDp8H | user0 | 515
