2023-05-07T19:13:49.482Z | mtYK9 | user7 | 29
2023-05-07T19:13:49.482Z | mtYK9 | user3 | 29
2023-05-07T19:13:49.695Z | mtYK9 | user0 | 29
2023-05-07T19:13:49.811Z | mtYK9 | user6 | 29
2023-05-07T19:13:49.909Z | mtYK9 | user2 | 29
2023-05-07T19:13:49.901Z | mtYK9 | user1 | 29
2023-05-07T19:13:49.943Z | mtYK9 | user4 | 29
2023-05-07T19:13:49.953Z | mtYK9 | user5 | 29
2023-05-07T19:13:50.042Z | mtYK9 | desmond | 36
2023-05-07T19:13:50.237Z | mtYK9 | user9 | 29
2023-05-07T19:13:50.320Z | mtYK9 | user8 | 29
2023-05-07T19:13:50.492Z | mtYK9 | user7 | 29
2023-05-07T19:13:50.492Z | mtYK9 | user3 | 29
2023-05-07T19:13:50.705Z | mtYK9 | user0 | 29
2023-05-07T19:13:50.813Z | mtYK9 | user6 | 29
2023-05-07T19:13:50.912Z | mtYK9 | user2 | 29
2023-05-07T19:13:50.911Z | mtYK9 | user1 | 29
2023-05-07T19:13:50.945Z | mtYK9 | user4 | 29
2023-05-07T19:13:50.961Z | mtYK9 | user5 | 29
2023-05-07T19:13:51.052Z | mtYK9 | desmond | 36
2023-05-07T19:13:51.242Z | mtYK9 | user9 | 29
2023-05-07T19:13:51.325Z | mtYK9 | user8 | 29
2023-05-07T19:13:51.497Z | mtYK9 | user7 | 29
2023-05-07T19:13:51.496Z | mtYK9 | user3 | 29
2023-05-07T19:13:51.710Z | mtYK9 | user0 | 29
2023-05-07T19:13:51.921Z | mtYK9 | user2 | 29
2023-05-07T19:13:51.913Z | mtYK9 | user1 | 29
2023-05-07T19:13:51.954Z | mtYK9 | user4 | 29
2023-05-07T19:13:51.818Z | mtYK9 | user6 | 29
2023-05-07T19:13:51.972Z | mtYK9 | user5 | 29
2023-05-07T19:13:52.077Z | mtYK9 | desmond | 35
2023-05-07T19:13:52.248Z | mtYK9 | user9 | 29
2023-05-07T19:13:52.330Z | mtYK9 | user8 | 29
2023-05-07T19:13:52.502Z | mtYK9 | user7 | 29
2023-05-07T19:13:52.502Z | mtYK9 | user3 | 29
2023-05-07T19:13:52.823Z | mtYK9 | user6 | 29
2023-05-07T19:13:52.718Z | mtYK9 | user0 | 29
2023-05-07T19:13:52.915Z | mtYK9 | user1 | 29
2023-05-07T19:13:52.923Z | mtYK9 | user2 | 29
2023-05-07T19:13:52.981Z | mtYK9 | user5 | 29
2023-05-07T19:13:52.957Z | mtYK9 | user4 | 29
2023-05-07T19:13:53.096Z | mtYK9 | desmond | 35
2023-05-07T19:13:53.251Z | mtYK9 | user9 | 29
2023-05-07T19:13:53.333Z | mtYK9 | user8 | 29
2023-05-07T19:13:53.505Z | mtYK9 | user7 | 29
2023-05-07T19:13:53.505Z | mtYK9 | user3 | 29
2023-05-07T19:13:53.726Z | mtYK9 | user0 | 29
2023-05-07T19:13:53.825Z | mtYK9 | user6 | 29
2023-05-07T19:13:53.965Z | mtYK9 | user4 | 29
2023-05-07T19:13:53.932Z | mtYK9 | user2 | 29
2023-05-07T19:13:53.924Z | mtYK9 | user1 | 29
2023-05-07T19:13:54.111Z | mtYK9 | desmond | 35
2023-05-07T19:13:53.989Z | mtYK9 | user5 | 29
