2023-05-07T18:43:16.789Z | PViyg | mansi | 70
2023-05-07T18:43:16.834Z | PViyg | user0 | 70
2023-05-07T18:43:29.906Z | PViyg | user0 | 82
2023-05-07T18:43:29.994Z | PViyg | mansi | 82
2023-05-07T18:43:29.383Z | PViyg | Desmond | 70
2023-05-07T18:43:30.256Z | PViyg | user1 | 70
2023-05-07T18:43:30.600Z | PViyg | user3 | 70
2023-05-07T18:43:30.771Z | PViyg | user2 | 70
2023-05-07T18:43:30.924Z | PViyg | user0 | 82
2023-05-07T18:43:31.017Z | PViyg | mansi | 82
2023-05-07T18:43:30.392Z | PViyg | Desmond | 82
2023-05-07T18:43:31.260Z | PViyg | user1 | 82
2023-05-07T18:43:31.609Z | PViyg | user3 | 82
2023-05-07T18:43:31.774Z | PViyg | user2 | 82
2023-05-07T18:43:31.927Z | PViyg | user0 | 82
2023-05-07T18:43:32.031Z | PViyg | mansi | 82
2023-05-07T18:43:31.402Z | PViyg | Desmond | 82
2023-05-07T18:43:32.263Z | PViyg | user1 | 82
2023-05-07T18:43:32.617Z | PViyg | user3 | 82
2023-05-07T18:43:32.775Z | PViyg | user2 | 82
2023-05-07T18:43:32.934Z | PViyg | user0 | 82
2023-05-07T18:43:33.053Z | PViyg | mansi | 82
2023-05-07T18:43:32.416Z | PViyg | Desmond | 82
2023-05-07T18:43:33.270Z | PViyg | user1 | 82
2023-05-07T18:43:33.625Z | PViyg | user3 | 82
2023-05-07T18:43:33.782Z | PViyg | user2 | 82
2023-05-07T18:43:33.944Z | PViyg | user0 | 82
2023-05-07T18:43:34.071Z | PViyg | mansi | 82
2023-05-07T18:43:33.440Z | PViyg | Desmond | 81
2023-05-07T18:43:34.278Z | PViyg | user1 | 82
2023-05-07T18:43:34.635Z | PViyg | user3 | 82
2023-05-07T18:43:34.785Z | PViyg | user2 | 82
2023-05-07T18:43:34.947Z | PViyg | user0 | 82
2023-05-07T18:43:35.106Z | PViyg | mansi | 82
2023-05-07T18:43:34.456Z | PViyg | Desmond | 81
2023-05-07T18:43:35.290Z | PViyg | user1 | 82
2023-05-07T18:43:35.644Z | PViyg | user3 | 81
2023-05-07T18:43:35.787Z | PViyg | user2 | 82
2023-05-07T18:43:35.949Z | PViyg | user0 | 81
2023-05-07T18:43:36.116Z | PViyg | mansi | 82
2023-05-07T18:43:35.472Z | PViyg | Desmond | 81
2023-05-07T18:43:36.299Z | PViyg | user1 | 81
2023-05-07T18:43:36.652Z | PViyg | user3 | 81
2023-05-07T18:43:36.792Z | PViyg | user2 | 81
2023-05-07T18:43:36.957Z | PViyg | user0 | 81
2023-05-07T18:43:37.137Z | PViyg | mansi | 82
2023-05-07T18:43:36.490Z | PViyg | Desmond | 81
2023-05-07T18:43:37.301Z | PViyg | user1 | 81
2023-05-07T18:43:37.655Z | PViyg | user3 | 81
2023-05-07T18:43:37.795Z | PViyg | user2 | 81
2023-05-07T18:43:37.964Z | PViyg | user0 | 81
2023-05-07T18:43:38.164Z | PViyg | mansi | 81
2023-05-07T18:43:38.306Z | PViyg | user1 | 81
2023-05-07T18:43:37.512Z | PViyg | Desmond | 81
2023-05-07T18:43:38.658Z | PViyg | user3 | 81
2023-05-07T18:43:38.796Z | PViyg | user2 | 81
2023-05-07T18:43:38.966Z | PViyg | user0 | 81
2023-05-07T18:43:39.183Z | PViyg | mansi | 81
2023-05-07T18:43:38.520Z | PViyg | Desmond | 81
2023-05-07T18:43:39.314Z | PViyg | user1 | 81
2023-05-07T18:43:39.668Z | PViyg | user3 | 81
2023-05-07T18:43:39.800Z | PViyg | user2 | 81
2023-05-07T18:43:39.967Z | PViyg | user0 | 81
2023-05-07T18:43:40.200Z | PViyg | mansi | 81
2023-05-07T18:43:40.324Z | PViyg | user1 | 81
2023-05-07T18:43:39.538Z | PViyg | Desmond | 81
2023-05-07T18:43:40.672Z | PViyg | user3 | 81
2023-05-07T18:43:40.809Z | PViyg | user2 | 81
2023-05-07T18:43:40.976Z | PViyg | user0 | 81
2023-05-07T18:43:41.217Z | PViyg | mansi | 81
2023-05-07T18:43:40.552Z | PViyg | Desmond | 81
2023-05-07T18:43:41.332Z | PViyg | user1 | 81
2023-05-07T18:43:41.678Z | PViyg | user3 | 81
2023-05-07T18:43:41.818Z | PViyg | user2 | 81
2023-05-07T18:43:41.986Z | PViyg | user0 | 81
2023-05-07T18:43:42.245Z | PViyg | mansi | 81
2023-05-07T18:43:42.340Z | PViyg | user1 | 81
